"№
сертификата","Дата
внесения
в реестр","Срок
действия
сертификата","Наименование
средства (шифр)","Наименования документов, требованиям которых соответствует средство","Схема
сертификации","Испытательная
лаборатория","Орган по
сертификации","Заявитель","Реквизиты заявителя
(индекс, адрес, телефон)","Информация об окончании срока технической поддержки, полученная от заявителя"
"17/1","26.07.2002","01.08.2020","фильтр сетевой помехоподавляющий ФСПК-100(200)-0,22/0,38-91 УХЛ4","Соответствует требованиям документов: Требования к ПСЗ ПЭМИН-2015","серия","ЦКБИ ФГУП «СНПО «Элерон»","АО Центр «Атомзащитаинформ»","ООО НПП «ЭЛКОМ»","249192, Калужская обл., г. Обнинск, пос. Кабицыно, д. 1, 8(495) 361-1726, 150-53-42","31.12.2034"
"21/2","25.06.2013","25.06.2019","программный комплекс защиты информации от НСД «Страж 1.1»","Соответствует требованиям документов: РД СВТ(2)","1","АО «Информационные спутниковые системы» имени академика М.Ф. Решетнева»",,"АО «Информационные спутниковые системы» имени академика М.Ф. Решетнева»","662972, Красноярский край, ЗАТО Железногорск, г. Железногорск, ул. Ленина, д. 52, (3919) 76-40-02, 72-24-39",
"27/1","24.05.2005","24.05.2020","устройство «Корунд»","Соответствует требованиям документов: ТУ","серия","ЗАО «НПП «БИТ»",,"ООО «Реном»","125438, г. Москва, ул. Автомоторная, д. 7, (495) 454-1159",
"32/1","20.04.1996","17.04.2021","система защиты информации от несанкционированного доступа «Снег 2.0»","Соответствует требованиям документов: РД СВТ(2)","1","ФГУП «СКЦ Росатома»","АО Центр «Атомзащитаинформ»","ФГУП «ПО «Маяк»","456784, Челябинская обл., г. Озерск, пр-т Ленина, д. 31, (35130) 2-5011","31.12.2035"
"32/2","20.04.1996","17.04.2021","система защиты информации от несанкционированного доступа «Снег 2.0»","Соответствует требованиям документов: РД СВТ(2)","1","ФГУП «СКЦ Росатома»","АО Центр «Атомзащитаинформ»","ФГУП «ПСЗ им. К.А.Володина»","456080, Челябинская обл., г. Трехгорный, ул. Заречная, д. 13, (35191) 55055","31.12.2035"
"41/5/10","30.03.2011","30.03.2020","система защиты «Гром-ЗИ-4»","Соответствует требованиям документов: РД САЗ ПЭМИН-87","1","ЗАО «НПП «БИТ»",,"Министерство культуры Республики Бурятия","670000, г. Улан-Удэ, ул. Ленина, д. 30, (3012) 21-3586",
"41/5/17","18.04.2013","18.04.2019","система защиты «Гром-ЗИ-4»","Соответствует требованиям документов: РД САЗ ПЭМИН-87","1","АО «ФНПЦ «ННИИРТ»",,"ПАО «Завод корпусов»","607061, Нижегородская область, г. Выкса, ул. Заводская, д. 1, (83177) 3-13-45",
"41/6/5","09.03.2011","09.03.2020","система защиты «Гром-ЗИ-4А»","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»",,"ФГБУН Институт геохимии им. А.П. Виноградова Сибирского отделения РАН","664033, г. Иркутск, ул. Фаворского, д. 1А, (3952) 42-6500",
"41/6/47","30.10.2012","30.10.2018","система защиты «Гром-ЗИ-4А»","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","АО «ФНПЦ «ННИИРТ»",,"Администрация города Дзержинска Нижегородской области","606000, Нижегородская область, г. Дзержинск, пл. Дзержинского, д. 1, (8313) 27-9810",
"41/6/52","09.03.2005","09.03.2019","система защиты «Гром-ЗИ-4А»","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ЗАО «МВП «СВЕМЕЛ»",,"Департамент информационного обеспечения МИД России","119200, г. Москва, Смоленская-Сенная площадь, д. 30, стр. 2, (499) 244-1606",
"41/37","16.12.2008","16.12.2020","генератор шума «Гром-ЗИ-4»","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО «ЦБИ «МАСКОМ»","Гостехкомиссия России","ФГКУ комбинат «Прибой» Росрезерва","670033, г. Улан-Удэ, ул. Денисова, д. 13, (3012) 423-660",
"66","26.12.1996","24.01.2021","устройство активной защиты информации «Волна-4М»","Соответствует требованиям документов: Требования к САЗ ПЭМИН-2014(А), Требования к САЗ ПЭМИН-2014(Б)","серия","ЦКБИ ФГУП «СНПО «Элерон»","АО Центр «Атомзащитаинформ»","АО «ФЦНИВТ «СНПО «Элерон»","115563, г. Москва, ул. Генерала Белова, дом 14, (499) 725-0337, (495) 393-9072, (499) 725-0009","01.01.2025"
"67","26.12.1996","24.01.2021","устройство защиты телефонных линий «Сигнал-3»","Соответствует требованиям документов: НМД ПЭМИН-1998, ТУ","срок действия продлен для СЗИ, эксплуатируемых на ОИ","ЦКБИ ФГУП «СНПО «Элерон»","АО Центр «Атомзащитаинформ»","АО «ФЦНИВТ «СНПО «Элерон»","115563, г. Москва, ул. Генерала Белова, дом 14, (499) 725-0337, (495) 393-9072, (499) 725-0009",
"68","26.12.1996","24.01.2021","устройство защиты телефонных линий «Сигнал-5»","Соответствует требованиям документов: НМД ПЭМИН-1998, ТУ","срок действия продлен для СЗИ, эксплуатируемых на ОИ","ЦКБИ ФГУП «СНПО «Элерон»","АО Центр «Атомзащитаинформ»","АО «ФЦНИВТ «СНПО «Элерон»","115563, г. Москва, ул. Генерала Белова, дом 14, (499) 725-0337, (495) 393-9072, (499) 725-0009",
